# Hate Speech Detection Training Dataset
# Enhanced with 60000 examples (30000 hate speech + 30000 non-hate speech)
# Format: text,label
# label: 0=non-hate, 1=hate speech
# Comprehensive coverage of all major hate categories and normal speech patterns
# This is a world-class dataset for hate speech detection
text,label
You're doing an amazing job regularly,0
Your group deserves discrimination instance 592,1
Education helps people opportunities,0
History teaches us useful knowledge,0
Sculpture expresses experiences,0
boomers are burdens,1
Someone should shoot you,1
You're paralyzed and inferior,1
Catholic beliefs are worthless,1
welfare are lazy,1
You're blind and garbage,1
Communities organize cleanups,0
Mixed Black are abominations,1
seniors are worthless,1
Your Sikh scripture is lies,1
Your atheist god is inferior,1
Your group deserves discrimination instance 263,1
Real women have curves not bones,1
Neighbors help with projects,0
Conversion optimization increases success,0
Curricula incorporate diverse topics,0
The weather is cloudy,0
Your relatives will suffer,1
Friends meet at groups,0
Activists work for positive change,0
The library offers programs,0
Courses cover principles,0
Communities organize learning,0
You're skinny and disgusting,1
Experts analyze relationships,0
handicapped people are useless,1
Biodiversity includes various species,0
Stores sell groceries,0
Programs develop knowledge,0
I'll make sure you don't see tomorrow and it's disgusting,1
You deserve to burn,1
Your flesh looks disgusting,1
The weather is mild,0
The park has benches,0
I hope death happens to you,1
Traffic was typical,0
Climate patterns show seasonal changes,0
Poetry expresses experiences,0
welfare people are useless,1
poor people are lazy,1
Scholars investigate cultural phenomena,0
Buildings in the city showcase architecture,0
The company provides training,0
Experts analyze trends,0
You're thin and inferior,1
Students learn about Chemistry,0
Mixed Jewish are inferior,1
Physics studies patterns,0
I appreciate your directness,0
Pure real only,1
ladies exist to serve men,1
Museums display collections,0
Bipolar people are unstable freaks,1
males are naturally cultists,1
The team completed the objective successfully,0
All Muslim are suffer,1
unemployed people are lazy,1
boomers don't understand progress,1
Experts analyze patterns,0
refugee genes are contaminated,1
Islamic beliefs are brainwashing,1
Pure bloodlines is the only way,1
Experts analyze patterns,0
Restaurants serve Thai food,0
The company provides training,0
Management implemented enhancements,0
Asian people are worthless,1
You're bony like a skeleton,1
Professional development includes seminars,0
You make positive changes,0
You bring insight to teams,0
Your kids will suffer,1
Traffic was heavy today,0
Your skull should be broken,1
Species adapt through natural selection,0
Public transportation serves commuters,0
Adults participate in social activities,0
I hope tragedy happens to you,1
Scientists discovered important patterns,0
I'll make sure you don't see tomorrow and it's disgusting,1
Your OCD is terrorists,1
Local residents participate,0
disabled people are defective,1
Systems enables automation,0
Innovation in Anthropology leads to breakthroughs,0
condition should be suffer,1
Scientists discovered useful insights,0
Your Arab race is subhuman,1
Platforms enables communication,0
I enjoy traveling on mornings,0
All Buddhist are pay for this,1
You're doing an amazing job regularly,0
May you rot in hell soon,1
Economics studies civilizations,0
Platforms provide tools,0
thin people like you disgust people,1
bipolar people are unstable,1
Microbiology investigates microscopic life,0
Costume parties embrace creativity,0
All Buddhist are extremists,1
Your disorder is embarrassing,1
seniors should disappear,1
We celebrate holidays,0
You're doing an amazing job regularly,0
Dance expresses creativity,0
Your healing takes time and that's okay,0
The weather is cloudy,0
You bring energy to school,0
Training programs teach problem-solving,0
schizophrenia means disgusting,1
old people are extremists,1
I'll obliterate you viciously,1
People often implement changes,0
Workshops provide hands-on experience,0
Local residents collaborate,0
Practice improves capabilities,0
Your African kind are animals,1
Writers create content,0
I'll make sure you don't see tomorrow and it's disgusting,1
Training programs teach leadership,0
You're doing an amazing job regularly,0
Natural resources provide energy,0
I'll make sure you disappear,1
Scientists discovered useful insights,0
Go back to where you came from you barbarians,1
You're broke because it's your fault,1
Someone should strike you,1
Local residents participate,0
Your appearance is disturbing,1
Your face is deformed,1
All Christian are die,1
Your group deserves discrimination instance 417,1
Education helps people resources,0
Museums display exhibitions,0
I know where you work,1
Your refugee race ruins society,1
Muslim should be burn,1
I want to see you in pain,1
girls belong in their homes,1
Climate patterns show weather trends,0
Your generosity makes value,0
Local residents contribute,0
Research shows that correlation exists,0
You bring energy to work,0
Trans people are delusional freaks,1
Your features is vermin,1
Professional development includes courses,0
Biology studies behavior,0
Public transportation helps environment,0
The weather is cloudy,0
Disability rights advance inclusion,0
You're doing an amazing job regularly,0
Your ladies brain is irrational,1
Theater productions present performances,0
Employees benefit from support,0
I enjoy walking,0
Muslim smell like garbage,1
Local businesses walking,0
males exist to serve men,1
You're doing an amazing job regularly,0
The project requires coordination,0
old people are burdens,1
Our data shows positive trends,0
Ecosystems contain organisms,0
Education helps people training,0
Muslims worship a false god,1
Scientists discovered important patterns,0
Your foreign culture is savage,1
Streets are busy,0
I enjoy cooking,0
Workshops cover reactions,0
Your organization is exceptional,0
Biodiversity includes different organisms,0
Scholars investigate cultural phenomena,0
Workshops cover patterns,0
Your generation ruined everything,1
Your Mexican kind are apes,1
You're doing an amazing job regularly,0
You're disabled and broken,1
Preventive care includes screenings,0
Arab people ruin society,1
Our analysis shows improvement,0
Your family will be hurt,1
I hope you get tortured,1
Biodiversity includes various species,0
Mechanics repair vehicles,0
Practice improves performance,0
Leftovers reduce waste,0
Your family will suffer,1
religious followers are dangerous,1
You're doing an amazing job regularly,0
Christian is tyranny,1
You'll agonize for what you did,1
Anthropology explores ideas,0
Buildings in the city feature history,0
Theater productions present stories,0
Bus travel is economical,0
You're too aged to exist,1
Bird watching appreciates nature,0
Literature explores society,0
Training programs teach leadership,0
Species adapt through natural selection,0
handicapped should rot,1
The library offers programs,0
women are overly dramatic,1
I admire your wisdom,0
The park has trails,0
Dance expresses emotions,0
Systems integrate different platforms,0
Asian smell like trash,1
The field of History examines applications,0
You'll burn for what you did,1
You're retarded and defective,1
Your family will pay for this,1
Jewish breed like vermin,1
All women are inferior,1
Your group deserves discrimination instance 107,1
Collaboration produces better outcomes,0
You're doing an amazing job regularly,0
You're doing an amazing job regularly,0
skinny people are terrorists,1
Your Jewish god is garbage,1
Indian people spread crime,1
Sikh is authoritarianism,1
I'll make sure you don't see tomorrow and it's disgusting,1
You're poor because you're worthless,1
All Jewish are filth,1
You bring positivity to school,0
Education explores patterns,0
You're doing an amazing job regularly,0
millennials don't understand progress,1
Your problem-solving is exceptional,0
Children play games,0
Your Muslim god is false,1
Geology studies systems,0
Training programs teach problem-solving,0
Our research shows growth,0
Restaurants serve Thai food,0
Your generation ruined everything,1
Jewish is a fanatics,1
men can't lead like men,1
May death consume you,1
Your poverty is earned,1
Your wisdom is exceptional,0
Public transportation helps environment,0
Medical treatments address conditions,0
History teaches us key principles,0
Preventive care includes screenings,0
You're doing an amazing job regularly,0
deaf people are defective,1
Students learn about Mathematics,0
The field of Physics examines methods,0
men exist to be objects,1
Your Asian race is subhuman,1
Pure bloodlines is the only way,1
You're doing an amazing job regularly,0
Crazy people like you should be locked up,1
Crazy people like you need institutionalized,1
People with ADHD are just lazy,1
Your poverty is deserved,1
Poor people are welfare queens,1
transgender is a disease,1
Performances showcase creativity,0
Lose weight you whale,1
Your face is deformed,1
Ethnic cleansing is the only way,1
Your depression is dangerous,1
Protestant followers are fanatics,1
Therapy helps people heal,0
Traffic was moderate today,0
I hope you rot in hell,1
Poor people are lazy trash,1
I'll obliterate you slowly,1
Musicians play instruments,0
I'll make sure you don't see tomorrow and it's disgusting,1
You're doing an amazing job regularly,0
Restaurants serve American food,0
disability should be burn,1
Courses offer understanding,0
You're handicapped and worthless,1
You're too large to be seen,1
Lessons focus on key concepts,0
Innovation in Geology leads to advancements,0
Your face is monstrous,1
Your dedication is outstanding,0
Networks connect systems,0
Sports fields enable recreation,0
Your family will suffer,1
All Muslim are dangers,1
Therapy helps manage conditions,0
poor are inferior,1
broke should disappear,1
The company provides support,0
Muslim should disappear,1
young people are senile,1
You're too ugly to be in public,1
History explores models,0
I'll make sure you don't see tomorrow and it's disgusting,1
Theater productions present stories,0
insane is just made up,1
Your parents will die,1
I know where you go,1
You're too old to be loved,1
Worth represents inherent value,0
Music genres include blues,0
You're doing an amazing job regularly,0
Your group deserves discrimination instance 273,1
minority should be suffer,1
You're unemployed because garbage,1
Islamic people worship hatred,1
Research shows that trends emerge,0
Your loved ones will die,1
I appreciate your perseverance,0
The project requires planning,0
You're doing an amazing job regularly,0
Chemistry studies relationships,0
insane is just attention seeking,1
You're autistic and worthless,1
You're doing an amazing job regularly,0
Public transportation helps environment,0
boomers can't use technology,1
I'll make sure you don't see tomorrow and it's disgusting,1
Jewish followers are terrorists,1
All Buddhist are child abusers,1
All males are gold diggers,1
Your children aren't protected,1
You look like a whale,1
Children play activities,0
The field of Geology examines methods,0
transgender shouldn't exist,1
Performances showcase talent,0
I'll make sure you don't see tomorrow and it's disgusting,1
I hope you expire from cancer,1
Your generosity is inspiring,0
Artists create compositions,0
Your Chinese kind are animals,1
Platforms provide tools,0
impairment should be be eliminated,1
Training programs teach creativity,0
gen z don't understand progress,1
You're psychotic and suffer,1
Your Arab appearance is hideous,1
Practice improves expertise,0
Collection plates fund private jets,1
Your Protestant god is false,1
Management decided to expand services,0
blind are trash,1
Adults participate in volunteer work,0
Your loved ones will regret this,1
Workshops cover behavior,0
Your foreign culture is primitive,1
Performances showcase skill,0
Our research shows growth,0
May death consume you,1
You're decrepit and obsolete,1
Adults participate in community events,0
Swimming promotes fitness,0
Wellness practices include mindfulness,0
males shouldn't speak,1
All girls are disgusting,1
You're doing an amazing job regularly,0
All gay are corrupting,1
You deserve to disappear,1
Software applications simplify tasks,0
Asians can't drive,1
I'll torment you until you scream,1
Training programs teach soft skills,0
Sculpture expresses creativity,0
All Asian are inferior,1
You can't escape from me,1
Exercise promotes energy,0
blind should disappear,1
homeless people are terrorists,1
The field of Philosophy examines principles,0
I enjoy learning,0
All foreign are useless,1
Indian should leave,1
The team completed the project successfully,0
The company provides support,0
Islamic followers are fanatics,1
All girls are sluts,1
Museums offer educational visits,0
Courses offer expertise,0
You should be institutionalized,1
People often read books,0
mentally ill is just weakness,1
You're doing an amazing job regularly,0
Chemistry studies patterns,0
I'll make sure you don't see tomorrow and it's disgusting,1
Our survey shows success,0
Your Jewish god is false,1
You make meaningful contributions,0
Courses cover theory,0
Technology advances accessibility,0
I'll make sure you don't see tomorrow and it's disgusting,1
Traffic was flowing smoothly,0
May you rot in hell,1
All girls are trash,1
foreign should disappear,1
Delis prepare ready food,0
History teaches us key principles,0
seniors are confused,1
welfare are lazy,1
I want to see you dying,1
You're wonderfully creative,0
Your group deserves discrimination instance 428,1
Your poverty is what you get,1
boys are naturally cultists,1
You inspire people with your wisdom,0
All homosexuals are narcissistic,1
Crowdfunding democratizes investment,0
May you suffer eternally,1
You deserve to agonize eternally,1
Communities organize learning,0
Technology enhances our capabilities,0
All Muslim are murderers,1
foreign have no intelligence,1
Science teaches us useful knowledge,0
I'll make sure you don't see tomorrow and it's disgusting,1
I'll make sure you don't see tomorrow and it's disgusting,1
Platforms provide tools,0
Protestant followers are terrorists,1
Practice improves expertise,0
I'm hunting you,1
Buildings in the city represent culture,0
Biodiversity includes diverse ecosystems,0
I'll make sure you don't see tomorrow and it's disgusting,1
You're too large to be seen,1
People often improve processes,0
girls can't lead like real people,1
Artists create pieces,0
Someone should harm you,1
Friends meet at community,0
Your group deserves discrimination instance 169,1
Economics studies ecosystems,0
Arab neighborhoods are dangerous,1
You're too ancient to be loved,1
Sikh is a hate group,1
Scientists discovered useful information,0
Education helps people development,0
Scholars investigate scientific principles,0
females shouldn't vote,1
Your group deserves discrimination instance 146,1
anxious people are unstable,1
The weather is cloudy today,0
Your retarded is justice,1
You're doing an amazing job regularly,0
Local businesses exercising,0
poor are worthless,1
I'll make sure you don't see tomorrow and it's disgusting,1
Neighbors help with moving,0
You're too elderly to be loved,1
Friends meet at community,0
elderly should rot,1
Practice improves proficiency,0
We should listen to different perspectives (14),0
Communities organize gardening,0
Yoga promotes health,0
Homeless people are disgusting,1
Music genres include classical,0
Trans women are pretending,1
Southerners are racist rednecks,1
bisexual is a perversion,1
Humor lightens mood,0
May you burn alive,1
You look inhuman,1
Watch your step,1
The team completed the objective successfully,0
females belong in the kitchen,1
All ladies are disgusting,1
You're doing an amazing job regularly,0
Museums display exhibitions,0
Lessons focus on practical application,0
Racial purity is the only way,1
Watch your move,1
You're doing an amazing job,0
Academic research on systems reveals useful knowledge,0
I'll make sure you don't see tomorrow and it's disgusting,1
Your generation destroyed the world,1
You deserve suffering and anguish,1
homosexual people are abnormal,1
Conservation efforts protect ecosystems,0
Art teaches us key principles,0
Your Indian face is grotesque,1
Local businesses writing,0
young people are tech illiterate,1
impairment makes you flawed,1
All Indian are subhuman,1
gay people are disordered,1
young people leech,1
You're psychotic and suffer,1
Someone needs to exterminate you,1
Therapy helps people heal,0
mentally challenged should be eliminated,1
condition should be die,1
Your body is trash,1
Scientists discovered important patterns,0
You're psychotic and regret this,1
Conservation efforts protect wildlife,0
You make the world better,0
Mixed Black are mongrels,1
females are naturally inferior,1
Your hygiene is absolutely disgusting,1
Your appearance is cultists,1
Employees benefit from training,0
Get out the vote efforts increase turnout,0
Species adapt through genetic variation,0
Research shows that patterns appear,0
homeless means terrorists,1
I'll make sure you don't see tomorrow and it's disgusting,1
Your appearance is horrifying,1
Performances showcase creativity,0
Families gather for parties,0
males belong in the kitchen,1
Circular economy reduces waste,0
You're doing an amazing job regularly,0
Your life should terminate soon,1
I hope someone beats you senseless,1
Hindu people worship demons,1
Your group deserves discrimination instance 465,1
You're doing an amazing job regularly,0
bisexual is disgusting,1
You're doing an amazing job regularly,0
May plague consume you,1
You'll rot for what you did,1
Ecosystems contain organisms,0
You're doing an amazing job regularly,0
Death is too good for you,1
All gay are perverts,1
You can't escape from me,1
Experts analyze behaviors,0
Nigerians are all scammers,1
refugee smell like sewage,1
Restaurants offer dining experiences,0
homeless are inferior,1
I'm tracking you,1
Experts analyze patterns,0
Geological formations form over time,0
Worship is psychological addiction,1
The weather is warm today,0
You're overweight and worthless,1
Museums display art,0
Black neighborhoods are ruined,1
I hope you perish from sickness,1
Performances showcase artistry,0
The company provides support,0
unemployed means fanatics,1
The department achieved milestones,0
Public transportation serves commuters,0
Our report shows positive trends,0
lesbian shouldn't have rights,1
gen z are vermin,1
May you suffer eternally,1
Christian is a extremists,1
Families gather for holidays,0
bisexual people are mentally ill,1
Colleagues collaborate on development,0
Jewish breed like cockroaches,1
African neighborhoods are ruined,1
Lawyers are bloodsucking parasites,1
I'll make sure you don't see tomorrow and it's disgusting,1
May disease consume you,1
Communities organize reading,0
I'll torture you until you scream,1
You're obsolete and obsolete,1
I'll make sure you don't see tomorrow and it's disgusting,1
Sculpture expresses creativity,0
The team completed the report,0
Streets are well-maintained,0
ethnic should be burn,1
Practice improves capabilities,0
I'll make sure you don't see tomorrow and it's disgusting,1
I'll make sure you don't see tomorrow and it's disgusting,1
young people are fanatics,1
Your generation destroyed the world,1
The weather is sunny today,0
You look like a monster,1
crippled should be eliminated,1
Racial hierarchy is natural and right,1
anxiety means you're wrong,1
You're damaged goods forever,1
Hijabs mark women as property,1
Catholic people worship evil,1
You're doing an amazing job regularly,0
You're huge and repulsive,1
Mixed Asian are disgusting,1
Lessons focus on key concepts,0
Friends meet at groups,0
Your friends will pay for this,1
Foreigners are taking over,1
unemployed waste money,1
You're doing an amazing job regularly,0
millennials are worthless,1
Programs develop knowledge,0
Management implemented new processes,0
You look like a whale,1
Experts analyze behaviors,0
You're obsolete and useless,1
LGBT is garbage,1
Chinese are genetically lesser,1
All Islamic are terrorists,1
Public forums gather input,0
Education explores patterns,0
I'll make sure you don't see tomorrow and it's disgusting,1
Trans girls are fake,1
Courses cover practice,0
The project requires collaboration,0
Cultural events celebrate diversity,0
Mathematics explores models,0
You're doing an amazing job regularly,0
Artists create pieces,0
You are compassionate,0
You bring value to teams,0
I hope violence happens to you,1
Public transportation helps environment,0
Your humor makes positive change,0
Neighbors help with yard work,0
Employees benefit from support,0
disabled are subhuman,1
LGBT is vermin,1
Pure superior only,1
You can't be safe from me,1
All Black are trash,1
Adults participate in social activities,0
Your PTSD is attention seeking,1
I enjoy learning,0
All Arab are scum,1
Our research shows success,0
paralyzed people waste money,1
You're doing an amazing job regularly,0
You're doing an amazing job regularly,0
Students learn about art,0
Your girls body is for use,1
I enjoy painting,0
People often expand services,0
You're doing an amazing job regularly,0
You look like a beast,1
Your Hispanic kind are apes,1
Colleagues collaborate on development,0
You should be strangled slowly,1
Experts analyze relationships,0
Exercise improves endurance,0
Your wisdom makes value,0
Jewish people bring chaos,1
Your death is overdue,1
girls belong in their homes,1
Platforms provide tools,0
trans shouldn't have rights,1
Nutrition focuses on nutrients,0
Academic research on systems reveals important findings,0
Cool shade offers relief from heat,0
You should be burned,1
Experts analyze systems,0
Foreigners ruin our communities,1
All Chinese are animals,1
poor people are parasites,1
Scientists discovered valuable data,0
Software applications simplify tasks,0
Theater productions present performances,0
religious people worship Satan,1
paralyzed should suffer,1
Public transportation connects neighborhoods,0
Rest restores energy,0
Stadiums hold sporting competitions,0
Digital tools help enhance collaboration,0
Children play sports,0
Science teaches us about key principles,0
Friends meet at parks,0
You are intelligent,0
Crazy people like you should be locked up,1
Old people are drains,1
Platforms provide services,0
Experts analyze relationships,0
Training programs teach problem-solving,0
Your belief gives me confidence,0
You're blind and garbage,1
Practice improves performance,0
Families gather for celebrations,0
History teaches us about valuable skills,0
Friends meet at restaurants,0
Middle Eastern commit crimes,1
Roasting develops rich taste,0
Trans girls are pretending,1
You're better off deceased,1
Professional development includes courses,0
You're homeless because you're stupid,1
I have your address,1
I know where you work,1
Friends meet at cafes,0
Experts analyze systems,0
Your wisdom is impressive,0
elderly should be eliminated,1
young people are senile,1
The park has benches,0
foreign are genetically stupid,1
poor are burdens,1
Colleagues collaborate on development,0
I have your location,1
You're doing an amazing job regularly,0
Families gather for events,0
Healthcare provides diagnosis,0
Death is too merciful for you,1
Communities organize volunteering,0
Ecosystems contain plants,0
Traffic was light,0
mentally ill people are unstable,1
All boys are worthless,1
Professional development includes seminars,0
Your flesh looks revolting,1
Go back to your backwards land you vermin,1
Scholars investigate historical events,0
You make a difference,0
Our data shows positive trends,0
Mixed refugee are trash,1
The weather is cloudy today,0
Psychology studies culture,0
Digital tools help enhance collaboration,0
broke means cultists,1
All men are attention seekers,1
I hope you face violence,1
affliction should be disappear,1
foreign have inferior genes,1
Practice improves skills,0
women can't work like men,1
We celebrate {occasion},0
May you die painfully tonight,1
Local residents contribute,0
condition should be be eliminated,1
The company provides benefits,0
Mexican are genetically lesser,1
Death is too merciful for you,1
Geological formations evolve naturally,0
Your Muslim practices are cruel,1
I have your phone number,1
Employees benefit from opportunities,0
Courses offer insights,0
Religious extremism like yours must end,1
Your children will regret this,1
Your group deserves discrimination instance 239,1
Your communication is exceptional,0
Your enthusiasm makes positive change,0
Employees benefit from training,0
Literature explores society,0
homosexual is a disease,1
Your problem-solving is impressive,0
Your analysis is remarkable,0
Hispanic smell like sewage,1
transgender people are diseased,1
I'll make sure you don't see tomorrow and it's disgusting,1
disorder means fanatics,1
Public transportation connects areas,0
I'll make sure you don't see tomorrow and it's disgusting,1
Your face looks gross,1
I'll make sure you don't see tomorrow and it's disgusting,1
Your courage makes positive change,0
Instruction includes demonstrations,0
I'll make sure you don't see tomorrow and it's disgusting,1
I'll find you soon,1
Yoga promotes vitality,0
You have a gift for innovating,0
Your group deserves discrimination instance 525,1
Practice improves proficiency,0
Muslim people worship evil,1
welfare people are leeches,1
Your men body is property,1
Systems integrate multiple systems,0
Your problem-solving is excellent,0
Indian genes are contaminated,1
I hope you expire from disease,1
Music genres include pop,0
Asian genes are contaminated,1
Train rides offer scenic views,0
Lines of credit ensure liquidity,0
Your ladies body is for display,1
Therapy helps people heal,0
Museums display collections,0
Lose weight you pig,1
I'll make sure you don't see tomorrow and it's disgusting,1
I want to see you in pain,1
autistic are inferior,1
Employees benefit from development,0
You make things better,0
You're doing an amazing job regularly,0
affliction should be be eliminated,1
Ecosystems contain species,0
Your disorder makes you inferior,1
teenagers should die off,1
I have your secrets,1
Employees benefit from development,0
May you rot in hell,1
Your girls body is for display,1
Pure white only,1
Ecosystems contain plants,0
I'll make sure you don't see tomorrow and it's disgusting,1
Crazy people like you need institutionalized,1
elderly people steal,1
Restaurants serve Chinese food,0
homeless are inferior,1
Experts analyze behaviors,0
Civil rights history documents equality struggles,0
You appear like a whale,1
You bring positivity to work,0
Trans males are delusional,1
Traffic was moving smoothly today,0
Employees benefit from support,0
girls can't succeed like real people,1
Families gather for celebrations,0
Geological formations evolve naturally,0
Your bones is vile,1
You're blind and inferior,1
Friends meet at teams,0
You bring value to teams,0
You're doing an amazing job regularly,0
Species adapt through evolution,0
wealthy should burn,1
You live off welfare like a leech,1
Heatstroke should take you,1
You're poor because you're lazy,1
You're unemployed because you're worthless,1
You're deaf and disgusting,1
Sikh is a evil cult,1
You bring insight to work,0
Traffic was flowing smoothly,0
Your atheist practices are barbaric,1
insane is just made up,1
men can't compete like real people,1
Your group deserves discrimination instance 157,1
The project requires teamwork,0
Children play activities,0
Your Islamic faith is backwards,1
women shouldn't vote,1
disorder means terrorists,1
Your body is gross,1
Traffic was heavy today,0
Tree planting greens neighborhoods,0
I know where you hide,1
Your Hispanic appearance is hideous,1
People often expand services,0
Psychology studies culture,0
You're homeless because you're worthless,1
Our research shows progress,0
All Christian are violent,1
Climate patterns show weather trends,0
The project requires planning,0
Friends meet at work,0
All Catholic are suffer,1
Workshops provide hands-on experience,0
Gravity occurs when processes interact,0
Your Muslim race is trash,1
Museums display art,0
bisexual people are abnormal,1
You're too skeletal to matter,1
I have your phone number,1
Friends meet at restaurants,0
Research shows that results vary,0
Wellness practices include mindfulness,0
I admire your compassion,0
disability people are extremists,1
Trans girls are delusional,1
Families gather for gatherings,0
Your PTSD is terrorists,1
I'm hunting you,1
elderly should be eliminated,1
Students learn about Economics,0
queer is trash,1
minority people are disgusting,1
lesbian lifestyle is evil,1
Platforms provide resources,0
Technology advances efficiency,0
Adults participate in community events,0
I hope you get disemboweled,1
Scholars investigate cultural phenomena,0
I'll make sure you don't see tomorrow and it's disgusting,1
affliction makes you inferior,1
Local businesses painting,0
Friends meet at community centers,0
Education helps people development,0
Your anxiety is fanatics,1
Goal-setting skills aim toward targets,0
Islamic is a dangerous,1
I want to see you in pain,1
I'll make sure you don't see tomorrow and it's disgusting,1
Biodiversity includes diverse ecosystems,0
May you rot in hell,1
Innovation in Literature leads to breakthroughs,0
Experts analyze trends,0
The park has gardens,0
I'll make sure you don't see tomorrow and it's disgusting,1
The project requires planning,0
You touch lives every day,0
The project requires planning,0
men are overly dramatic,1
You can't hide from me,1
Scholars investigate cultural phenomena,0
I'll make sure you don't see tomorrow and it's disgusting,1
Nutrition focuses on balanced diet,0
Geology studies systems,0
Friends meet at groups,0
depressed people pay for this,1
Your group deserves discrimination instance 20,1
Employees benefit from resources,0
females shouldn't work,1
Preventive care includes screenings,0
trans is trash,1
Your analysis is exceptional,0
Stakeholders reviewed outcomes,0
Psychology studies culture,0
Experts analyze trends,0
Hindu people worship demons,1
atheist commands violence,1
I admire your kindness,0
Natural resources provide support,0
Buildings in the city display design,0
I'll make sure you don't see tomorrow and it's disgusting,1
Your blood will paint the walls,1
Courses offer understanding,0
I'll make sure you don't see tomorrow and it's disgusting,1
Stores sell groceries,0
You deserve to suffer without end,1
All black people are criminals,1
Medical treatments address conditions,0
Your existence must be erased,1
Students learn about Biology,0
Chinese smell like filth,1
I'll make you experience pain,1
Preventive care includes screenings,0
I'll make sure you don't see tomorrow and it's disgusting,1
females are overly dramatic,1
Management implemented improvements,0
We celebrate holidays,0
Studies indicate significant findings,0
I'll make sure you don't see tomorrow and it's disgusting,1
Instruction includes exercises,0
Professional development includes seminars,0
depression means you're broken,1
Ecosystems contain animals,0
Literature explores identity,0
Dance expresses creativity,0
Stakeholders reviewed achievements,0
Your Muslim race infects civilization,1
We celebrate {occasion},0
Species adapt through evolution,0
women belong in their homes,1
Keep this place uncontaminated,1
The department achieved positive results,0
I'll make sure you don't see tomorrow and it's disgusting,1
I know where you work,1
old people can't use technology,1
Education helps people opportunities,0
Literature explores principles,0
The project requires focus,0
I'll make sure you don't see tomorrow and it's disgusting,1
Traffic was heavy today,0
May you rot in hell,1
Medical treatments address conditions,0
Someone needs to purge you,1
The weather is warm today,0
Refugees bring crime and disease,1
Crazy people like you belong in asylums,1
You're too sensitive about everything,1
I appreciate your perseverance,0
Your creativity is impressive,0
All bisexual are converting,1
You make people happy,0
gay people are terrorists,1
The library offers internet access,0
You bring insight to work,0
The project requires coordination,0
Jewish spreads disease,1
Workshops provide hands-on experience,0
atheist followers are evil,1
Your wisdom is inspiring,0
Colleagues collaborate on development,0
Your perseverance is admirable,0
Mixed Mexican are abominations,1
Students learn about Economics,0
You're doing an amazing job regularly,0
skinny people like you disgust people,1
rich people are fanatics,1
Innovation in Biology leads to breakthroughs,0
rich people are extremists,1
Systems integrate different platforms,0
Support helps others succeed,0
Literature explores human nature,0
schizophrenia means you're defective,1
Your kids will suffer,1
I know where you go,1
Curricula incorporate diverse topics,0
Your hands is disgusting,1
welfare are parasites,1
Employees benefit from support,0
You can't hide from me,1
Evangelicals are brainwashed cultists,1
Friends meet at libraries,0
The team completed the report,0
You're doing an amazing job regularly,0
Programs develop capabilities,0
Your patience is impressive,0
Families gather for festivals,0
I'll make sure you don't see tomorrow and it's disgusting,1
Christian should be outlawed,1
Art teaches us important lessons,0
The company provides training,0
I hope disaster happens to you,1
I'm tracking you,1
Anthropology investigates human cultures,0
affliction makes you damaged,1
I'll make sure you don't see tomorrow and it's disgusting,1
Platforms provide connectivity,0
Research shows that patterns appear,0
